Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
l3leaf,borderleaf1-DC1,Ethernet1,mlag_peer,borderleaf2-DC1,Ethernet1
l3leaf,borderleaf1-DC1,Ethernet2,mlag_peer,borderleaf2-DC1,Ethernet2
l3leaf,borderleaf1-DC1,Ethernet3,spine,spine1-DC1,Ethernet6
l3leaf,borderleaf1-DC1,Ethernet4,spine,spine2-DC1,Ethernet6
l3leaf,borderleaf1-DC1,Ethernet5,spine,spine3-DC1,Ethernet6
l3leaf,borderleaf2-DC1,Ethernet1,mlag_peer,borderleaf1-DC1,Ethernet1
l3leaf,borderleaf2-DC1,Ethernet2,mlag_peer,borderleaf1-DC1,Ethernet2
l3leaf,borderleaf2-DC1,Ethernet3,spine,spine1-DC1,Ethernet7
l3leaf,borderleaf2-DC1,Ethernet4,spine,spine2-DC1,Ethernet7
l3leaf,borderleaf2-DC1,Ethernet5,spine,spine3-DC1,Ethernet7
l3leaf,leaf1-DC1,Ethernet1,mlag_peer,leaf2-DC1,Ethernet1
l3leaf,leaf1-DC1,Ethernet2,mlag_peer,leaf2-DC1,Ethernet2
l3leaf,leaf1-DC1,Ethernet3,spine,spine1-DC1,Ethernet2
l3leaf,leaf1-DC1,Ethernet4,spine,spine2-DC1,Ethernet2
l3leaf,leaf1-DC1,Ethernet5,spine,spine3-DC1,Ethernet2
l3leaf,leaf2-DC1,Ethernet1,mlag_peer,leaf1-DC1,Ethernet1
l3leaf,leaf2-DC1,Ethernet2,mlag_peer,leaf1-DC1,Ethernet2
l3leaf,leaf2-DC1,Ethernet3,spine,spine1-DC1,Ethernet3
l3leaf,leaf2-DC1,Ethernet4,spine,spine2-DC1,Ethernet3
l3leaf,leaf2-DC1,Ethernet5,spine,spine3-DC1,Ethernet3
l3leaf,leaf3-DC1,Ethernet1,mlag_peer,leaf4-DC1,Ethernet1
l3leaf,leaf3-DC1,Ethernet2,mlag_peer,leaf4-DC1,Ethernet2
l3leaf,leaf3-DC1,Ethernet3,spine,spine1-DC1,Ethernet4
l3leaf,leaf3-DC1,Ethernet4,spine,spine2-DC1,Ethernet4
l3leaf,leaf3-DC1,Ethernet5,spine,spine3-DC1,Ethernet4
l3leaf,leaf4-DC1,Ethernet1,mlag_peer,leaf3-DC1,Ethernet1
l3leaf,leaf4-DC1,Ethernet2,mlag_peer,leaf3-DC1,Ethernet2
l3leaf,leaf4-DC1,Ethernet3,spine,spine1-DC1,Ethernet5
l3leaf,leaf4-DC1,Ethernet4,spine,spine2-DC1,Ethernet5
l3leaf,leaf4-DC1,Ethernet5,spine,spine3-DC1,Ethernet5
spine,spine1-DC1,Ethernet2,l3leaf,leaf1-DC1,Ethernet3
spine,spine1-DC1,Ethernet3,l3leaf,leaf2-DC1,Ethernet3
spine,spine1-DC1,Ethernet4,l3leaf,leaf3-DC1,Ethernet3
spine,spine1-DC1,Ethernet5,l3leaf,leaf4-DC1,Ethernet3
spine,spine1-DC1,Ethernet6,l3leaf,borderleaf1-DC1,Ethernet3
spine,spine1-DC1,Ethernet7,l3leaf,borderleaf2-DC1,Ethernet3
spine,spine2-DC1,Ethernet2,l3leaf,leaf1-DC1,Ethernet4
spine,spine2-DC1,Ethernet3,l3leaf,leaf2-DC1,Ethernet4
spine,spine2-DC1,Ethernet4,l3leaf,leaf3-DC1,Ethernet4
spine,spine2-DC1,Ethernet5,l3leaf,leaf4-DC1,Ethernet4
spine,spine2-DC1,Ethernet6,l3leaf,borderleaf1-DC1,Ethernet4
spine,spine2-DC1,Ethernet7,l3leaf,borderleaf2-DC1,Ethernet4
spine,spine3-DC1,Ethernet2,l3leaf,leaf1-DC1,Ethernet5
spine,spine3-DC1,Ethernet3,l3leaf,leaf2-DC1,Ethernet5
spine,spine3-DC1,Ethernet4,l3leaf,leaf3-DC1,Ethernet5
spine,spine3-DC1,Ethernet5,l3leaf,leaf4-DC1,Ethernet5
spine,spine3-DC1,Ethernet6,l3leaf,borderleaf1-DC1,Ethernet5
spine,spine3-DC1,Ethernet7,l3leaf,borderleaf2-DC1,Ethernet5
